1;2;3;4;6;7;8;9;10;11;12;13;14
NWS;2004;27/12/2004;16:00;27/12/2004;23:00;244º, -32º;1;2;(+BA +BT);6.909;11.155;98.75º
NWS;2005;07/01/2005;16:00;08/01/2004;00:00;283º, 40º;1;1;(+BA -BT);3.145;7.082;152.08º
ENW;2005;09/01/2005;10:00;09/01/2005;17:00;328º, 61º;2;2;(+BA +BT);3.779;8.764;123.73º
NWS;2005;16/01/2005;17:00;17/01/2005;02:00;246º, -12º;1;1;(-BA -BT);7.757;13.298;110.96º
SWN;2005;21/02/2005;03:00;21/02/2005;16:00;NOT;0;0;NOT;*;*;*
NWS;2005;15/05/2005;14:00;16/05/2005;13:00;257º, 1º;1;1;(-BA +BT);5.768;11.622;94.37º
NWS;2005;20/05/2005;17:00;21/05/2005;05:00;247º, 1º;1;1;(-BA -BT);2.398;6.280;117.24º
ENW;2005;29/05/2005;09:00;29/05/2005;15:00;297º, 45º;1;1;(-BA +BT);5.396;11.224;121.75
WSE;2005;30/05/2005;05:00;30/05/2005;23:00;232º, -50º;2;1;(-BA +BT);3.170;6.989;158.54
WSE;2005;12/06/2005;16:00;13/06/2005;08:00;NOT;0;0;NOT;*;*;*
SEN;2005;15/06/2005;06:00;16/06/2005;00:00;100º, 11º;2;1;(+BA +BT);2.532;6.642;157.76º
NES;2005;16/06/2005;08:00;17/06/2005;14:00;NOT;0;0;NOT;*;*;*
NES;2005;10/07/2005;08:00;10/07/2005;23:00;98º, -3º;1;2;(-BA +BT);4.028;9.414;123.90º
NES;2005;17/07/2005;15:00;17/07/2005;22:00;62º, 24º;1;1;(+BA +BT);13.234;13.644;147.46º
ENW;2005;09/08/2005;05:00;09/08/2005;13:00;NOT;0;0;NOT;*;*;*
NES;2005;10/08/2005;06:00;10/08/2005;12:00;57º, 8º;1;1;(-BA +BT);5.082;3.954;91.46º
WSE;2005;24/08/2005;17:00;24/08/2005;23:00;288º, -73º;0;1;(-BA -BT);2.624;6.888;31.40º
NES;2005;24/08/2005;23:00;25/08/2005;05:00;NOT;0;0;NOT;*;*;*
NES;2005;02/09/2005;19:00;03/09/2005;04:00;119º, 7º;1;1;(+BA -BT);5.065;9.412;151.41º
NOT;2005;15/09/2005;06:00;16/09/2005;18:00;NOT;0;0;NOT;*;*;*
NES;2005;31/10/2005;02:00;31/10/2005;19:00;128º, 2º;2;2;(+BA -BT);2.807;6.781;136.64º
